Source,Target,Label
201,101,Genji’s dialogue with Reimu in touhou 2 suggests the two know each other
204,101,Marisa is friends with Reimu
205,101,Mima haunts the Hakurei Shrine and makes fun of Reimu
205,204,Mima is Marisa’s master
306,305,Chiyuri is Yumemi’s assistant
307,101,"In Reimu’s ending in Touhou 3, Ruukoto became Reimu’s maid for some time"
307,306,Ruukoto is created by Yumemi
404,403,"Elly is the gatekeeper of Mugenkan, which Yuuka is the master of"
406,405,Gengetsu is Mugetsu’s older sister
503,204,Alice and Marisa have interacted with each other multiple times
503,205,"In one ending, Alice begame Mima’s maid for some time"
505,504,Mai and Yuki appeared together during their boss fight
507,506,Yumeko is Shinki’s maid
604,204,Marisa regularly steals books from Patchouli
604,603,Both are residents of the Scarlet Devil Mansion
605,603,Both are residents of the Scarlet Devil Mansion
605,604,Both are residents of the Scarlet Devil Mansion
606,101,"Remilia often comes to the Hakurei Shrine during parties, as stated by Reimu in Strange and Bright Nature Deity chapter 1"
606,603,Both are residents of the Scarlet Devil Mansion
606,604,"According to Embodiment of Scarlet Devil’s omake text, Remilia and Patchouli are friends"
606,605,Sakuya is Remilia’s maid
607,603,Both are residents of the Scarlet Devil Mansion
607,604,Both are residents of the Scarlet Devil Mansion
607,605,Both are residents of the Scarlet Devil Mansion
607,606,Flandre is Remilia’s younger sister
704,703,Merlin is Lunasa’s younger sister
705,703,Lyrica is Lunasa’s younger sister
705,704,Lyrica is Merlin’s younger sister
707,703,"According to Perfect Cherry Blossom’s character setting text, the Saigyouji family enlisted the Prismriver sisters"
707,704,"According to Perfect Cherry Blossom’s character setting text, the Saigyouji family enlisted the Prismriver sisters"
707,705,"According to Perfect Cherry Blossom’s character setting text, the Saigyouji family enlisted the Prismriver sisters"
707,706,Yuyuko is Youmu’s Mistress
708,702,Chen is Ran’s shikigami
709,101,Yukari interacts with Reimu a lot
709,204,Yukari interacts with Marisa occasionally
709,702,Chen takes orders from Yukari
709,707,Yukari and Yuyuko are friends
709,708,Ran is Yukari’s shikigami
801,101,Suika often hangs around at the Hakurei Shrine and interacts with Reimu
801,709,Suika is stated to be one of Yukari’s friends
